,Sentence #,Word,Tag
443,149,it,O
444,149,easier,O
445,149,for,O
446,149,remote,B-Attacker
447,149,attackers,I-Attacker
448,149,to,O
449,149,mount,B-Impact
450,149,brute,I-Impact
451,149,force,I-Impact
452,149,attacks,I-Impact
453,151,The,O
454,151,caching,B-Component
455,151,module,I-Component
456,151,in,O
457,151,Netscape,B-App
458,151,Fasttrack,I-App
459,151,Server,I-App
460,151,4.1,B-AppVer
461,151,allows,O
462,151,remote,B-Attacker
463,151,attackers,I-Attacker
464,151,to,O
465,151,cause,O
466,151,a,O
467,151,denial,B-VulType
468,151,of,I-VulType
469,151,service,I-VulType
470,151,(resource exhaustion),B-VulTypeAKA
471,151,by,O
472,151,requesting,B-Vector
473,151,a,I-Vector
474,151,large,I-Vector
475,151,number,I-Vector
476,151,of,I-Vector
477,151,non-existent,I-Vector
478,151,URLs,I-Vector
479,151,.,O
480,152,Microsoft,B-App
481,152,Index,I-App
482,152,Server,I-App
483,152,2.0,B-AppVer
484,152,in,O
485,152,Windows,B-Platform
486,152,NT,I-Platform
487,152,4.0,B-PlatformVer
488,152,1,O
489,152,and,O
490,152,Indexing,B-App
491,152,Service,I-App
492,152,in,O
493,152,Windows,B-Platform
494,152,2000,B-PlatformVer
495,152,1,O
496,152,allows,O
497,152,remote,B-Attacker
498,152,attackers,I-Attacker
499,152,to,O
500,152,read,B-Impact
501,152,server-side,I-Impact
502,152,include,I-Impact
503,152,files,I-Impact
504,152,via,O
505,152,a,O
506,152,malformed,B-Vector
507,152,search,I-Vector
508,152,request,I-Vector
509,152,1,O
510,152,aka,O
511,152,a,O
512,152,new,O
513,152,variant,O
514,152,of,O
515,152,the,O
516,152,Malformed Hit-Highlighting,B-VulTypeAKA
517,152,vulnerability,O
518,152,.,O
519,153,A,O
520,153,cross-site,B-VulType
521,153,scripting,I-VulType
522,153,vulnerability,I-VulType
523,153,in,O
524,153,Apache,B-App
525,153,Tomcat,I-App
526,153,3.2.1,B-AppVer
527,153,allows,O
528,153,a,O
529,153,malicious,B-Attacker
530,153,webmaster,I-Attacker
531,153,to,O
532,153,embed,B-Vector
533,153,Javascript,I-Vector
534,153,in,I-Vector
535,153,a,I-Vector
536,153,request,I-Vector
537,153,for,I-Vector
538,153,a,I-Vector
539,153,.JSP,I-Vector
540,153,file,I-Vector
541,153,1,O
542,153,which,O
543,153,causes,B-Impact
544,153,the,I-Impact
545,153,Javascript,I-Impact
546,153,to,I-Impact
547,153,be,I-Impact
548,153,inserted,I-Impact
549,153,into,I-Impact
550,153,an,I-Impact
551,153,error,I-Impact
552,153,message,I-Impact
553,153,.,O
554,154,Certain,B-Component
555,154,backend,I-Component
556,154,drivers,I-Component
557,154,in,O
558,154,the,O
559,154,SANE,B-App
560,154,library,I-App
561,154,1.0.3,B-AppVer
562,154,and,I-AppVer
563,154,earlier,I-AppVer
564,154,1,O
565,154,as,O
566,154,used,O
567,154,in,O
568,154,frontend,B-Platform
569,154,software,I-Platform
570,154,such,O
571,154,as,O
572,154,XSane,B-Platform
573,154,1,O
574,154,allows,O
575,154,local,B-Attacker
576,154,users,I-Attacker
577,154,to,O
578,154,modify,B-Impact
579,154,files,I-Impact
580,154,via,O
581,154,a,O
582,154,symlink,B-Vector
583,154,attack,I-Vector
584,154,on,I-Vector
585,154,temporary,I-Vector
586,154,files,I-Vector
587,154,.,O
588,155,Inetd,B-Component
589,155,in,O
590,155,OpenServer,B-App
591,155,5.0.5,B-AppVer
592,155,allows,O
593,155,remote,B-Attacker
594,155,attackers,I-Attacker
595,155,to,O
596,155,cause,O
597,155,a,O
598,155,denial,B-VulType
599,155,of,I-VulType
600,155,service,I-VulType
601,155,(crash),B-VulTypeAKA
602,155,via,O
603,155,a,O
604,155,port,B-Vector
605,155,scan,I-Vector
606,155,1,O
607,155,e.g.,O
608,155,with,I-Vector
609,155,nmap,I-Vector
610,155,-PO,I-Vector
611,155,.,O
612,157,Cooolsoft,B-App
613,157,PowerFTP,I-App
614,157,Server,I-App
615,157,2.03,B-AppVer
616,157,allows,O
617,157,remote,B-Attacker
618,157,attackers,I-Attacker
619,157,to,O
620,157,list,B-Impact
621,157,the,I-Impact
622,157,contents,I-Impact
623,157,of,I-Impact
624,157,arbitrary,I-Impact
625,157,drives,I-Impact
626,157,via,O
627,157,a,O
628,157,ls,B-Vector
629,157,(LIST),I-Vector
630,157,command,I-Vector
631,157,that,I-Vector
632,157,includes,I-Vector
633,157,the,I-Vector
634,157,drive,I-Vector
635,157,letter,I-Vector
636,157,as,I-Vector
637,157,an,I-Vector
638,157,argument,I-Vector
639,157,1,O
640,157,e.g.,I-Vector
641,157,"ls,I-VectorC:",I-Vector
642,157,.,O
643,158,FreeBSD,B-App
644,158,4.3,B-AppVer
645,158,does,B-Vul
646,158,not,I-Vul
647,158,properly,I-Vul
648,158,clear,I-Vul
649,158,shared,I-Vul
650,158,signal,I-Vul
651,158,handlers,I-Vul
652,158,when,I-Vul
653,158,executing,I-Vul
654,158,a,I-Vul
655,158,process,I-Vul
656,158,1,O
657,158,which,O
658,158,allows,O
659,158,local,B-Attacker
660,158,users,I-Attacker
661,158,to,O
662,158,gain,B-Impact
663,158,privileges,I-Impact
664,158,by,O
665,158,calling,B-Vector
666,158,rfork,I-Vector
667,158,with,I-Vector
668,158,a,I-Vector
669,158,shared,I-Vector
670,158,signal,I-Vector
671,158,handler,I-Vector
672,158,1,O
673,158,having,I-Vector
674,158,the,I-Vector
675,158,child,I-Vector
676,158,process,I-Vector
677,158,execute,I-Vector
678,158,a,I-Vector
679,158,setuid,I-Vector
680,158,program,I-Vector
681,158,1,O
682,158,and,I-Vector 
683,158,sending,I-Vector
684,158,a,I-Vector
685,158,signal,I-Vector
686,158,to,I-Vector
687,158,the,I-Vector
688,158,child,I-Vector
689,158,.,O
690,159,The,O
691,159,SSH-1,B-Component 
692,159,protocol,I-Component
693,159,allows,O 
694,159,remote,B-Attacker
695,159,servers,I-Attacker
696,159,to,O
697,159,conduct,O
698,159,man-in-the-middle,B-VulType
699,159,attacks,I-VulType
700,159,and,O
701,159,replay,B-Impact
702,159,a,I-Impact
703,159,client,I-Impact
704,159,challenge,I-Impact
705,159,response,I-Impact
706,159,to,I-Impact
707,159,a,I-Impact
708,159,target,I-Impact
709,159,server,I-Impact
710,159,by,O
711,159,creating,B-Vector
712,159,a,I-Vector
713,159,Session,I-Vector
714,159,ID,I-Vector
715,159,that,I-Vector
716,159,matches,I-Vector
717,159,the,I-Vector
718,159,Session,I-Vector 
719,159,ID,I-Vector
720,159,of,I-Vector
721,159,the,I-Vector
722,159,target,I-Vector
723,159,1,O
724,159,but,I-Vector  
725,159,which,I-Vector
726,159,uses,I-Vector
727,159,a,I-Vector
728,159,public,I-Vector
729,159,key,I-Vector
730,159,pair,I-Vector
731,159,that,I-Vector
732,159,is,I-Vector
733,159,weaker,I-Vector
734,159,than,I-Vector
735,159,the,I-Vector
736,159,target's,I-Vector
737,159,public,I-Vector
738,159,key,I-Vector
739,159,1,O
740,159,which,I-Vector
741,159,allows,I-Vector
742,159,the,I-Vector
743,159,attacker,I-Vector
744,159,to,I-Vector
745,159,compute,I-Vector
746,159,the,I-Vector
747,159,corresponding,I-Vector
748,159,private,I-Vector
749,159,key,I-Vector
750,159,and,I-Vector
751,159,use,I-Vector
752,159,the,I-Vector
753,159,target's,I-Vector
754,159,Session,I-Vector
755,159,ID,I-Vector
756,159,with,I-Vector
757,159,the,I-Vector
758,159,compromised,I-Vector
759,159,key,I-Vector
760,159,pair,I-Vector
761,159,to,I-Vector
762,159,masquerade,I-Vector
763,159,as,I-Vector
764,159,the,I-Vector
765,159,target,I-Vector
766,159,.,O
767,160,lpd,B-Component
768,160,daemon,I-Component
769,160,(in.lpd),B-ComponentAKA
770,160,in,O
771,160,Solaris,B-App
772,160,8,B-AppVer
773,160,and,I-AppVer
774,160,earlier,I-AppVer
775,160,allows,O
776,160,remote,B-Attacker
777,160,attackers,I-Attacker
778,160,to,O
779,160,execute,B-Impact
780,160,arbitrary,I-Impact
781,160,commands,I-Impact
782,160,via,O
783,160,a,O
784,160,job,B-Vector
785,160,request,I-Vector
786,160,with,I-Vector
787,160,a,I-Vector
788,160,crafted,I-Vector
789,160,control,I-Vector
790,160,file,I-Vector
791,160,that,I-Vector
792,160,is,I-Vector
793,160,not,I-Vector
794,160,properly,I-Vector
795,160,handled,I-Vector
796,160,when,I-Vector
797,160,lpd,I-Vector
798,160,invokes,I-Vector
799,160,a,I-Vector
800,160,mail,I-Vector
801,160,program,I-Vector
802,160,.,O
803,160,NOTE:,O
804,160,this,O
805,160,might,O
806,160,be,O
807,160,the,O
808,160,same,O
809,160,vulnerability,O
810,160,as,O
811,160,CVE-2000-1220,B-CVEID
812,160,.,O
813,161,In,O
814,161,Microsoft,B-Platform
815,161,Windows,I-Platform
816,161,NT,I-Platform
817,161,and,O
818,161,Windows,B-Platform
819,161,2000,I-Platform 
820,161,1,O
821,161,a,B-Vul
822,161,trusting,I-Vul
823,161,domain,I-Vul 
824,161,that,I-Vul
825,161,receives,I-Vul
826,161,authorization,I-Vul
827,161,information,I-Vul
828,161,from,I-Vul
829,161,a,I-Vul
830,161,trusted,I-Vul
831,161,domain,I-Vul
832,161,does,I-Vul
833,161,not,I-Vul
834,161,verify,I-Vul
835,161,that,I-Vul
836,161,the,I-Vul
837,161,trusted,I-Vul
838,161,domain,I-Vul
839,161,is,I-Vul
840,161,authoritative,I-Vul
841,161,for,I-Vul
842,161,all,I-Vul
843,161,listed,I-Vul
844,161,SIDs,I-Vul
845,161,1,O
846,161,which,O
847,161,allows,O
848,161,remote,B-Attacker
849,161,attackers,I-Attacker
850,161,to,O
851,161,gain,B-Impact
852,161,Domain,I-Impact
853,161,Administrator,I-Impact
854,161,privileges,I-Impact
855,161,on,I-Impact
856,161,the,I-Impact
857,161,trusting,I-Impact
858,161,domain,I-Impact
859,161,by,O
860,161,injecting,B-Vector
861,161,SIDs,I-Vector
862,161,from,I-Vector
863,161,untrusted,I-Vector
864,161,domains,I-Vector
865,161,into,I-Vector
866,161,the,I-Vector
867,161,authorization,I-Vector
868,161,data,I-Vector
869,161,that,I-Vector
870,161,comes,I-Vector
871,161,from,I-Vector
872,161,the,I-Vector
873,161,trusted,I-Vector 
874,161,domain,I-Vector 
875,161,.,O
876,162,Directory,B-VulType
877,162,traversal,I-VulType
878,162,vulnerability,I-VulType
879,162,in,O
880,162,filemanager.asp,B-Component
881,162,for,O
882,162,Hosting,B-App
883,162,Controller,I-App
884,162,1.4.1,B-AppVer
885,162,and,I-AppVer
886,162,earlier,I-AppVer
887,162,allows,O
888,162,remote,B-Attacker
889,162,attackers,I-Attacker
890,162,to,O
891,162,read,B-Impact 
892,162,and,I-Impact
893,162,modify,I-Impact
894,162,arbitrary,I-Impact
895,162,files,I-Impact
896,162,1,O
897,162,and,I-Impact
898,162,execute,I-Impact
899,162,commands,I-Impact
900,162,1,O
901,162,via,O
902,162,a,O
903,162,..,B-Vector
904,162,(dot dot),I-Vector
905,162,in,I-Vector
906,162,the,I-Vector
907,162,OpenPath,I-Vector
908,162,parameter,I-Vector
909,162,.,O
910,163,CGIscript.net,B-Component
911,163,csMailto.cgi,I-Component
912,163,program,I-Component
913,163,exports,B-Vul
914,163,feedback,I-Vul
915,163,to,I-Vul
916,163,a,I-Vul
917,163,file,I-Vul
918,163,that,I-Vul
919,163,is,I-Vul
920,163,accessible,I-Vul
921,163,from,I-Vul
922,163,the,I-Vul
923,163,web,I-Vul
924,163,document,I-Vul
925,163,root,I-Vul
926,163,1,O
927,163,which,O
928,163,could,O
929,163,allow,O
930,163,remote,B-Attacker
931,163,attackers,I-Attacker
932,163,to,O
933,163,obtain,B-Impact
934,163,sensitive,I-Impact
935,163,information,I-Impact
936,163,by,O
937,163,directly,B-Vector
938,163,accessing,I-Vector 
939,163,the,I-Vector
940,163,file,I-Vector
941,163,.,O
942,148,SQL*NET,B-App
943,148,listener,I-App
944,148,for,O
945,148,Oracle,B-Platform
946,148,Net,I-Platform
947,148,Oracle9i,I-Platform
948,148,9.0.x,B-PlatformVer
949,148,and,O
950,148,9.2,B-PlatformVer
951,148,allows,O
952,148,remote,B-Attacker
953,148,attackers,I-Attacker
954,148,to,O
955,148,cause,O
956,148,a,O
957,148,denial,B-VulType
958,148,of,I-VulType
959,148,service,I-VulType
960,148,(crash),B-VulTypeAKA
961,148,via,O
962,148,certain,B-Vector
963,148,debug,I-Vector
964,148,requests,I-Vector
965,148,that,I-Vector
966,148,are,I-Vector
967,148,not,I-Vector
968,148,properly,I-Vector
969,148,handled,I-Vector
970,148,by,I-Vector
971,148,the,I-Vector
972,148,debugging,I-Vector
973,148,feature,I-Vector
974,148,.,O
975,164,The,O
976,164,Host(),B-MINICOMPO
977,164,function,I-MINICOMPO
978,164,in,O
979,164,the,O
980,164,Microsoft,B-Component
981,164,spreadsheet,I-Component
982,164,component,I-Component
983,164,on,O
984,164,Microsoft,B-Platform
985,164,Office,I-Platform
986,164,XP,I-Platform
987,164,allows,O
988,164,remote,B-Attacker 
989,164,attackers,I-Attacker
990,164,to,O
991,164,create,B-Impact
992,164,arbitrary,I-Impact
993,164,files,I-Impact
994,164,using,I-Impact
995,164,the,I-Impact
996,164,SaveAs,I-Impact
997,164,capability,I-Impact
998,164,.,O
999,165,Unknown,B-Vul 
1000,165,vulnerability,I-Vul
1001,165,in,O
1002,165,Apache,B-App
1003,165,1.3.19,I-App
1004,165,running,O
1005,165,on,O
1006,165,HP,B-Platform
1007,165,Secure,I-Platform 
1008,165,OS,I-Platform
1009,165,for,I-Platform
1010,165,Linux,I-Platform
1011,165,1.0,I-Platform 
1012,165,allows,O
1013,165,remote,B-Attacker
1014,165,attackers,I-Attacker
1015,165,to,O
1016,165,cause,O
1017,165,unexpected results,B-Impact
1018,165,via,O
1019,165,an,O
1020,165,HTTP,B-Vector
1021,165,request,I-Vector
1022,165,.,O
1023,166,The,O
1024,166,file,B-Component
1025,166,preview,I-Component
1026,166,functionality,I-Component
1027,166,in,O
1028,166,Sketch,B-App
1029,166,0.6.12,B-AppVer
1030,166,and,I-AppVer
1031,166,earlier,I-AppVer
1032,166,allows,O
1033,166,remote,B-Attacker
1034,166,attackers,I-Attacker
1035,166,to,O
1036,166,execute,B-Impact
1037,166,arbitrary,I-Impact
1038,166,commands,I-Impact
1039,166,via,O
1040,166,shell,B-Vector
1041,166,metacharacters,I-Vector
1042,166,in,I-Vector
1043,166,the,I-Vector
1044,166,filename,I-Vector
1045,166,of,I-Vector
1046,166,an,I-Vector
1047,166,encapsulated,I-Vector
1048,166,Postscript,I-Vector
1049,166,(EPS),I-Vector
1050,166,file,I-Vector
1051,166,.,O
1052,168,Konqueror,B-App
1053,168,Embedded,I-App
1054,168,and,O
1055,168,KDE,B-App
1056,168,2.2.2,B-AppVer
1057,168,and,I-AppVer
1058,168,earlier,I-AppVer
1059,168,does,B-Vul
1060,168,not,I-Vul 
1061,168,validate,I-Vul
1062,168,the,I-Vul
1063,168,Common,I-Vul
1064,168,Name,I-Vul
1065,168,(CN),B-ComponentAKA
1066,168,field,I-Vul
1067,168,for,I-Vul
1068,168,X.509,I-Vul
1069,168,Certificates,I-Vul
1070,168,1,O
1071,168,which,O
1072,168,could,O
1073,168,allow,O
1074,168,remote,B-Attacker
1075,168,attackers,I-Attacker
1076,168,to,O
1077,168,spoof,B-Impact
1078,168,certificates,I-Impact
1079,168,via,O
1080,168,a,O
1081,168,man-in-the-middle,B-Vector 
1082,168,attack,I-Vector
1083,168,.,O
1084,169,The,O
1085,169,default,B-Setting
1086,169,CredentialMapper,I-Setting
1087,169,for,O
1088,169,BEA,B-App
1089,169,WebLogic,I-App
1090,169,Server,I-App
1091,169,and,O
1092,169,Express,B-App
1093,169,7.0,B-AppVer
1094,169,and,I-AppVer
1095,169,7.0.0.1,I-AppVer
1096,169,stores,B-Vul
1097,169,passwords,I-Vul
1098,169,in,I-Vul
1099,169,cleartext,I-Vul
1100,169,on,I-Vul
1101,169,disk,I-Vul
1102,169,1,O
1103,169,which,O
1104,169,allows,O
1105,169,local,B-Attacker
1106,169,users,I-Attacker
1107,169,to,O
1108,169,extract,B-Impact
1109,169,passwords,I-Impact
1110,169,.,O
1111,170,PHPGEDVIEW,B-App
1112,170,2.61,B-AppVer
1113,170,allows,O
1114,170,remote,B-Attacker
1115,170,attackers,I-Attacker
1116,170,to,O
1117,170,reinstall,B-Impact
1118,170,the,I-Impact
1119,170,software,I-Impact
1120,170,and,I-Impact
1121,170,change,I-Impact
1122,170,the,I-Impact
1123,170,administrator,I-Impact
1124,170,password,I-Impact
1125,170,via,O
1126,170,a,B-Vector
1127,170,direct,I-Vector
1128,170,HTTP,I-Vector
1129,170,request,I-Vector
1130,170,to,I-Vector
1131,170,editconfig.php,I-Vector
1132,170,.,O
1133,171,Multiple,B-VulType
1134,171,cross-site,I-VulType
1135,171,scripting,I-VulType
1136,171,(XSS),B-VulTypeAKA
1137,171,vulnerabilities,I-VulType
1138,171,in,O
1139,171,phpGedView,B-App
1140,171,before,B-AppVer 
1141,171,2.65,I-AppVer
1142,171,allow,O
1143,171,remote,B-Attacker
1144,171,attackers,I-Attacker
1145,171,to,O
1146,171,inject,B-Impact
1147,171,arbitrary,I-Impact
